Name,Description,Link,City,Zip,Member Count,Topic Category,Topics,Past Events
The Boston Stitches,"Bring your knitting, cross stitching, crochet, embroidery or hand sewing project to this merry bunch",https://www.meetup.com/the-boston-stitches,Belmont,02478,460,Hobbies & Passions,"Cross Stitch, Coffee/Tea While Knitting, Sewing, Knitting for Beginners, Stitching, Quilting, Knitting, Crochet, Social Crochet, Intermediate and Advanced Knitters, Yarn, Needlework, Crafts, Handmade Crafts, Knitter's Social","The Boston Stitches(Date: 2022-11-13), The Boston Stitches(Date: 2022-11-13), The Boston Stitches(Date: 2022-11-20)"
Boston Late Risers,"Hey Late Risers!
This group is for those who love to do indoor or outdoor events but also",https://www.meetup.com/boston-late-risers,Boston,02116,4763,Travel & Outdoor,"Walking, Hiking, Board Games, Bicycling, Outdoors","Arnold Arboretum Walk(Date: 2011-06-25), Arnold Arboretum Walk 2(Date: 2011-07-02), Hike and Swim Breakheart Reservation(Date: 2011-07-16)"
Boston Real Estate Investors Network - Part Of Boston REIA,The Boston Real Estate Investor Association is an Investor Association for real estate investors,https://www.meetup.com/boston-real-estate-investors-network,Boston,02108,215,Career & Business,"Investing, Investing for Retirement, Real Estate Networking, Real Estate Foreclosures, Real Estate Investors, Commercial Real Estate, Real Estate Investing, Real Estate, Real Estate Investment Education","Learn How To Invest In Real Estate Tax Free Using an IRA(Date: 2016-09-06), The Five Things Every New Investor Needs to Know About Working with Partners(Date: 2016-10-04), Dont pay uncle sam more of your money! 2016 YEAR END TAX PLANNING(Date: 2016-11-01)"
Volo Boston,"Originally starting as a 16 person bocce league on Federal Hill in Baltimore, MD, Volo has come a lo",https://www.meetup.com/volo-boston,Boston,02108,1444,Social Activities,"Fitness, New In Town, Social Networking, Wellness, Community Organizations, Social, Fun Times, Outdoor Fitness, Adventure, Weekend Adventures, Sports and Socials, Exercise, Recreational Sports, Singles, Outdoors","Hit The Golf Course - Social Boston Scramble(Date: 2017-10-14), Get Sweaty! - Sweat Crawl in Allston(Date: 2017-10-15), Nightmare on Broad Street - Bostons Best Halloween Party!(Date: 2017-10-28)"
Art Lovers Therapy Boston Meetup Group,"Are you looking for a creative way to cope with lifes challenges?

Join our Art Therapy Suppor",https://www.meetup.com/artloverstherapy,Boston,02108,531,Health & Wellbeing,"Self-Help & Self-Improvement, Therapy, Self-Empowerment, Peer Support, Social Anxiety, Depression, Art, Art Therapy, Writing, Artists & Artisans, Creative Arts, Expressive Arts, Anxiety, Depression, and Panic Disorder, Emotional & Mental Wellbeing, Mental Wellness","How to build and sti(Date: 2023-05-22), How to cope with life(Date: 2023-05-22), How to cope with life(Date: 2023-05-22)"
Code for Boston,"Code for Boston is a volunteer civic innovation organization created by Boston-area developers, desi",https://www.meetup.com/code-for-boston,Cambridge,02139,7979,Technology,"Data Visualization, Web Development, Software Development, Technology, Open Source, Ruby, Python, JavaScript, Open Government, Civic Engagement, Open Data, Interaction Design, UX Design","Weekly Hack Night(Date: 2013-04-02), Weekly Hack Night(Date: 2013-04-09), Downtown Lynn Data Walk(Date: 2013-04-13)"
Sufi Service Committee (Boston),"We are a nonprofit dedicated to serving the most pressing needs of the community- Hunger, homeles",https://www.meetup.com/sufi-service-committee-boston,Cambridge,02138,106,Community & Environment,"Nonprofit, Hunger Relief, Homeless Outreach, Community Organizations, Volunteering, Community Service, Community Outreach, People Helping People, Charity Events, End Poverty, Feeding the Hungry, Volunteering and Charity Events","Brunch and Clothes Sorting!(Date: 2018-06-24), Charity Clothing Service Event(Date: 2018-06-24), Charity Clothing Service Event(Date: 2018-06-24)"
Kadampa Meditation Center Boston,"www.meditationinboston.org

Kadampa Meditation Center Boston offers an wide program of medit",https://www.meetup.com/kadampa-meditation-center-boston,Cambridge,02140,1249,Health & Wellbeing,"Transformation, Buddhism, Buddhist Meditation, Meditation, Self-Help & Self-Improvement, Spiritual Growth, Kadampa Buddhism, Mahayana Buddhism, Modern Buddhism, Relaxation, Stress Relief, Spirituality","Finding Happiness from a Different Source(Date: 2010-10-21), Becoming Peaceful-  12 day workshop(Date: 2010-11-06), GUIDED MEDITATION Letting Go of Bad Habits(Date: 2010-11-11)"
"Boston ""Onyxbirds"" Travel Group","Are you an Onyxbird? Whats that?, you ask. Thats our term for people of African heritage i.e",https://www.meetup.com/bostononyxbirds,Boston,02119,817,Social Activities,"African American Women, Travel, Black Professionals, Blackology, Expat Caribbean, African Diaspora, Caribbean Culture","First Boston Onyxbirds Fly-in(Date: 2008-01-25), Boston Onyxbirds March Fly-In - The Spring Things Dinner(Date: 2008-03-07), Boston Onyxbirds June Fly-In - Re Connection(Date: 2008-06-06)"
Free And Cheap Things in Boston,"Welcome to Free And Cheap Things in Boston aka FACT Boston!
FACT Boston has two primary objectiv",https://www.meetup.com/fact-boston,Boston,02114,5396,Social Activities,"Singles, Live Music, Social Networking, Fun Times, Social, New In Town, Free Events","Free Cupcakes at BPL 11-3 Today!(Date: 2012-01-18), Lets meetup and play games!(Date: 2012-01-27), Lets Meet up and Learn to Swing Dance in Chelmsford, Ma(Date: 2012-01-27)"
The Boston Beanstalks Tall Club,"We are a social club of people who just happen to be tall.
We meet up and do all sorts of fun stuff",https://www.meetup.com/tall-15,Boston,02119,189,Social Activities,"Tall People, Social Networking, Singles, Social","The Boston Beanstalks Tall Club Anniversary Dance(Date: 2007-01-27), First Friday in February at the Newton Marriott(Date: 2007-02-02), First Friday in March at the Newton Marriott(Date: 2007-03-02)"
Boston Random Acts of Connection,Welcome to the ground floor of this new endeavor. My name is Cesar and after the pandemic I realized,https://www.meetup.com/boston-random-acts-of-connection,Boston,02108,752,Social Activities,"Social, Fun Times, Social Networking, Weekend Getaways, New In Town, Make New Friends, Conversation, Weekend Adventures","Make Connections at Bow Market(Date: 2024-08-17), Free Waterfront Vinyl Nights at ICA Boston(Date: 2024-08-23), Poetry Open Mic(Date: 2024-08-25)"
Boston Electronic Dance Music,House  Techno  Trance  Electro  Minimal  Industrial  Psychedelic  Chiptune  Synth  everyt,https://www.meetup.com/bostonedm,Boston,02215,3496,Music,"Electronic Dance Music, Raves, DJs, House Music, Electronic Music, Music, Nightlife, Singles Dancing, Live Music, Trance Music, Deep House Music, Dancing, Clubbing","Boston House Musics fist meetup!  Paul Oakenfold at Estate!(Date: 2008-03-14), Tiesto at Estate!!(Date: 2008-06-18), Booka Shade at the Middle East(Date: 2008-07-29)"
Pagans & Witches in Greater Boston,"Welcome  Well Met!

Pagans  Witches in Greater Boston is the meetup.com page of the Cornuc",https://www.meetup.com/pagans-witches-in-greater-boston,Malden,02148,2613,Religion & Spirituality,"Wiccan Training, Pagan Fellowship, Witches & Witchcraft, Pagan, Metaphysics, Goddess, Wiccan, Spirituality, Magick, Wiccan Fellowship, Pagans & Witches, Earth-Based Spirituality, Metaphysics and Astrology, Wicca & Witchcraft Training, Astrology","Community Gathering Meeting(Date: 2015-02-21), Full Moon Ritual(Date: 2015-03-05), Spring Equinox Ritual(Date: 2015-03-22)"
