OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,PARK_ID,REGION,OS_ID,F_100ftRule,ZipCode,ParcelNumber,YearAcquired,ShapeSTArea,ShapeSTLength
248,Colella Playground,Commonwealth of Massachusetts,A97,3,Hyde Park,0.66053058, ,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",DCR,NULL,X,X,,,,INFO_Reallocation From Dept,3046,YES,02136,,0,28770.6691199494,700.976481332178
249,Neponset Valley Parkway,Commonwealth of Massachusetts,A97,2,Hyde Park,5.54015396, ,Residential District,"Parkways, Reservations & Beaches",DCR,NULL,X,X,,,,INFO_Reallocation From Dept,3047,YES,02136,,0,241312.419659372,8075.78714154365
250,Dooley Playground,Commonwealth of Massachusetts,A97,3,Hyde Park,0.53566356, ,Residential District,"Parks, Playgrounds & Athletic Fields",DCR,NULL,X,X,,,,INFO_Reallocation From Dept,3048,YES,02136,,0,23331.8709934789,650.89470419914
251,Stony Brook Reservation I,Commonwealth of Massachusetts,A97/Wetlands,2,Hyde Park,285.44155885, ,Residential District,"Parkways, Reservations & Beaches",DCR,NULL,X,X,,,,INFO_Reallocation From Dept,3049,YES,"02136, 02131",,0,12432956.9378278,40797.4349357211
252,Patrick J. Kelly Park,Private,A97,3,Charlestown,0.25171851,Prospect Street,Residential District,"Parks, Playgrounds & Athletic Fields",Private,Private,X,X,Kelly/McGoff Park,,,INFO_Reallocation From Dept,7060,YES,02129,,0,10964.1763264854,553.92699052822
253,Clark/Cooper Community Garden,Private,LandTrust/Statt,5,Mattapan,3.55447112,500 Walk Hill Street,Industrial District,Community Gardens,Mass Audubon Society,Community Group/Non-Profit,X,N,"Clark/Cooper CG;  (part of Boston Nature Center)",,,INFO_Reallocation From Dept,7061,YES,02131,,0,154821.953800884,2563.85931353797
254,Kennedy Garden,Commonwealth of Massachusetts,A97,5,Mattapan,0.15964578, ,Open Space District,Community Gardens,DCR,NULL,X,X,,,,INFO_Reallocation From Dept,3050,YES,02126,,0,6953.68543287909,336.257974880147
255,White Stadium,City of Boston,,3,Roxbury,12.57440475, ,Open Space District,"Parks, Playgrounds & Athletic Fields",White Fund,BPS,X,X,,BPS,,INFO_Reallocation From Dept,2033,YES,02121,,0,548009.210606107,2961.46160298605
256,Havey Beach,Commonwealth of Massachusetts,A97/WPA,2,West Roxbury,15.198967, ,Open Space District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,Roche Family Rink,DCR,,INFO_Reallocation From Dept,3051,YES,02132,,0,662021.000144539,7696.02250750271
257,Millennium Park I,City of Boston,SURF/WPA,3,West Roxbury,91.65706919,300 Gardner Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Gardner Street Park,BPRD,198,PARK_Maintenance_Region 4,198,YES,02132,"2009010000,2009226010",0,3992302.13256617,9539.99727799513
